,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
492,БМ,6212,2023-02-19 05:00:00
493,КСУ БЕН-9,172.8,2023-02-19 06:30:00
494,АСН -2,72.2,2023-02-19 08:00:00
495,КСУ БЕН-3,108.1,2023-02-19 08:40:00
496,КСУ БЕН-6,106.6,2023-02-19 10:00:00
497,КСУ БЕН-9,79.7,2023-02-19 16:00:00
499,АСН-1-6,78.6,2023-02-19 22:00:00
502,КСУ СУТ,115.6,2023-02-19 23:00:00
503,КСУ БЕН-5,133.8,2023-02-20 04:00:00
504,АСН-3,33.3,2023-02-20 04:30:00
505,АСН-3,43.9,2023-02-20 08:10:00
506,КСУ БЕН-9,103.3,2023-02-20 10:00:00
507,КСУ БЕН-2,89.2,2023-02-20 16:00:00
509,АСН-1-6,39.1,2023-02-20 22:00:00
512,КСУ СУТ,47.1,2023-02-20 23:00:00
513,КСУ БЕН-8,185.7,2023-02-21 04:00:00
514,АСН-2,99,2023-02-21 06:40:00
515,АСН-3,56.3,2023-02-21 07:00:00
516,КСУ БЕН-6,150.9,2023-02-21 07:30:00
517,КСУ БЕН-2,104.2,2023-02-21 10:00:00
518,КСУ БЕН-5,92.6,2023-02-21 16:00:00
520,АСН-1-6,38,2023-02-21 22:00:00
523,КСУ СУТ,59.5,2023-02-21 23:00:00
524,КСУ БЕН-3,122.8,2023-02-22 04:00:00
525,АСН-3,40.5,2023-02-22 07:35:00
526,КСУ БЕН-5,97.4,2023-02-22 10:00:00
527,КСУ БЕН-7,96,2023-02-22 16:00:00
529,АСН-1-6,39.9,2023-02-22 22:00:00
532,КСУ СУТ,63.9,2023-02-22 23:00:00
533,КСУ БЕН-4,143.6,2023-02-23 04:00:00
534,АСН-2,46.3,2023-02-23 04:16:00
535,АСН-2,80.5,2023-02-23 08:05:00
536,КСУ БЕН-6,134.7,2023-02-23 10:00:00
537,АСН-2,40.7,2023-02-23 14:20:00
538,КСУ БЕН-9,154.4,2023-02-23 16:00:00
540,АСН-1-6,76.5,2023-02-23 22:00:00
543,КСУ СУТ,62.6,2023-02-23 23:00:00
544,АСН-3,75.2,2023-02-24 00:30:00
545,КСУ БЕН-5,155.3,2023-02-24 04:00:00
546,АСН -2,11.9,2023-02-24 08:20:00
547,КСУ БЕН-7,118.6,2023-02-24 10:00:00
548,КСУ БЕН-1,119.4,2023-02-24 16:00:00
550,АСН-1-6,99.5,2023-02-24 22:00:00
553,КСУ СУТ,64.3,2023-02-24 23:00:00
554,АСН-2,116.8,2023-02-25 00:15:00
555,АСН-2,84.6,2023-02-25 01:00:00
556,КСУ БЕН-5,177.3,2023-02-25 04:00:00
557,АСН-2,70,2023-02-25 08:25:00
558,КСУ БЕН-7,104.2,2023-02-25 10:00:00
559,АСН-2,36.1,2023-02-25 14:10:00
560,КСУ БЕН-1,113.7,2023-02-25 16:00:00
562,АСН-1-6,29.8,2023-02-25 22:00:00
565,КСУ СУТ,29.8,2023-02-25 23:00:00
566,КСУ БЕН-5,107,2023-02-26 04:00:00
567,АСН-2,29.1,2023-02-26 08:15:00
568,КСУ БЕН-8,94.8,2023-02-26 10:00:00
569,КСУ БЕН-4,73.2,2023-02-26 16:00:00
571,АСН-1-6,43.7,2023-02-26 22:00:00
574,КСУ СУТ,48.3,2023-02-26 23:00:00
575,КСУ БЕН-9,109.3,2023-02-27 04:00:00
576,КСУ БЕН-5,110.8,2023-02-27 10:00:00
577,АСН-2,27.9,2023-02-27 13:30:00
578,КСУ БЕН-7,106.9,2023-02-27 16:00:00
579,"АСН-2,3",29,2023-02-27 17:10:00
581,АСН-1-6,19.4,2023-02-27 22:00:00
584,КСУ СУТ,34.8,2023-02-27 23:00:00
585,КСУ БЕН-3,122.7,2023-02-28 04:00:00
586,АСН-2,56.9,2023-02-28 07:00:00
587,КСУ БЕН-1,169.5,2023-02-28 10:00:00
588,АСН-2,43.5,2023-02-28 14:20:00
589,КСУ БЕН-6,127.9,2023-02-28 16:00:00
591,АСН-1-6,41.2,2023-02-28 22:00:00
593,БМ,6665.7,2023-02-28 23:00:00
594,АСН-4,40.6,2023-03-01 00:10:00
595,КСУ БЕН-5,168.7,2023-03-01 04:00:00
596,АСН-2,32.3,2023-03-01 07:00:00
597,КСУ БЕН-4,199.8,2023-03-01 10:00:00
598,КСУ БЕН-7,146.4,2023-03-01 16:00:00
600,АСН-1-6,77.8,2023-03-01 22:00:00
602,КСУ СУТ,48,2023-03-01 23:00:00
603,АСН-4,56.9,2023-03-02 00:10:00
604,КСУ БЕН-3,238.3,2023-03-02 04:00:00
605,КСУ БЕН-7,200,2023-03-02 06:00:00
606,АСН-2,138,2023-03-02 08:15:00
607,КСУ БЕН-3,178.3,2023-03-02 10:30:00
608,АСН-2,49.4,2023-03-02 14:00:00
609,КСУ БЕН-4,148.7,2023-03-02 16:00:00
611,АСН-1-6,49.3,2023-03-02 22:00:00
614,КСУ СУТ,35.2,2023-03-02 23:00:00
615,АСН-2,56,2023-03-03 00:10:00
616,КСУ БЕН-9,141.4,2023-03-03 04:00:00
617,АСН-2,55.5,2023-03-03 06:35:00
618,КСУ БЕН-5,164.7,2023-03-03 10:00:00
619,АСН-2,43.9,2023-03-03 13:50:00
620,КСУ БЕН-2,208.1,2023-03-03 16:00:00
622,АСН-1-6,68,2023-03-03 22:00:00
625,КСУ СУТ,35.2,2023-03-03 23:00:00
626,КСУ-БЕН-1,212,2023-03-04 00:00:00
627,АСН-3,128.6,2023-03-04 00:10:00
628,АСН-4,133.1,2023-03-04 00:40:00
629,КСУ -БЕН-9,193,2023-03-04 04:00:00
630,КСУ -БЕН-7,147.1,2023-03-04 08:00:00
631,АСН-2,71.4,2023-03-04 08:35:00
632,КСУ -БЕН-4,145.9,2023-03-04 10:00:00
633,АСН-3,53.5,2023-03-04 14:15:00
634,КСУ -БЕН-7,146.9,2023-03-04 16:00:00
636,АСН-1-6,48.9,2023-03-04 22:00:00
639,КСУ СУТ,62.8,2023-03-04 23:00:00
640,КСУ -БЕН-6,177.7,2023-03-05 04:00:00
641,АСН-2,70.4,2023-03-05 08:10:00
642,КСУ -БЕН-2,164.3,2023-03-05 10:00:00
643,КСУ -БЕН-8,176.7,2023-03-05 16:00:00
645,АСН-1-6,68.6,2023-03-05 22:00:00
648,КСУ СУТ,49.8,2023-03-05 23:00:00
649,КСУ -БЕН-6,167.8,2023-03-06 04:00:00
650,АСН-2,65.6,2023-03-06 08:30:00
651,КСУ -БЕН-4,167.8,2023-03-06 10:00:00
652,АСН-2,45.9,2023-03-06 14:05:00
653,КСУ -БЕН-7,159.1,2023-03-06 16:00:00
655,АСН-1-6,56.1,2023-03-06 22:00:00
658,КСУ СУТ,49.8,2023-03-06 23:00:00
659,АСН-4,67.4,2023-03-07 00:10:00
660,КСУ -БЕН-6,179.9,2023-03-07 04:00:00
661,АСН-2,78.3,2023-03-07 08:10:00
662,КСУ -БЕН-4,200.2,2023-03-07 10:00:00
663,КСУ -БЕН-8,187,2023-03-07 12:00:00
664,АСН-2,61.5,2023-03-07 14:10:00
665,КСУ -БЕН-7,212.2,2023-03-07 16:00:00
667,АСН-1-6,49,2023-03-07 22:00:00
